date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20231002,center-right,88,0.0176,85,0.017,5000
20231002,far-right,0,0,0,0,0
20231009,far-left,60,0.012,60,0.012,5000
20231009,center-left,65,0.013,64,0.0128,5000
20231009,center,122,0.0244,118,0.0236,5000
20231009,center-right,111,0.0222,110,0.022,5000
20231009,far-right,0,0,0,0,0
20231016,far-left,45,0.009,45,0.009,5000
20231016,center-left,58,0.0116,58,0.0116,5000
20231016,center,107,0.0214,102,0.0204,5000
20231016,center-right,88,0.0176,86,0.0172,5000
20231016,far-right,0,0,0,0,0
20231023,far-left,47,0.0094,47,0.0094,5000
20231023,center-left,65,0.013,63,0.0126,5000
20231023,center,83,0.0166,81,0.0162,5000
20231023,center-right,83,0.0166,82,0.0164,5000
20231023,far-right,43,0.0086,43,0.0086,5000
20231030,far-left,58,0.0116,58,0.0116,5000
20231030,center-left,48,0.0096,48,0.0096,5000
20231030,center,67,0.0134,66,0.0132,5000
20231030,center-right,79,0.0158,78,0.0156,5000
20231030,far-right,0,0,0,0,0
20231106,far-left,61,0.0122,61,0.0122,5000
20231106,center-left,49,0.0098,49,0.0098,5000
20231106,center,60,0.012,59,0.0118,5000
20231106,center-right,85,0.017,83,0.0166,5000
20231106,far-right,0,0,0,0,0
20231113,far-left,66,0.0132,65,0.013,5000
20231113,center-left,51,0.0102,51,0.0102,5000
20231113,center,55,0.011,54,0.0108,5000
20231113,center-right,79,0.0158,78,0.0156,5000
20231113,far-right,0,0,0,0,0
20231120,far-left,50,0.011,48,0.0106,4530
20231120,center-left,44,0.0088,44,0.0088,5000
20231120,center,79,0.0158,78,0.0156,5000
20231120,center-right,65,0.013,64,0.0128,5000
20231120,far-right,44,0.0088,43,0.0086,5000
20231127,far-left,69,0.0138,68,0.0136,4996
20231127,center-left,50,0.01,50,0.01,5000
20231127,center,45,0.009,45,0.009,5000
20231127,center-right,60,0.012,58,0.0116,5000
20231127,far-right,0,0,0,0,0
20231204,far-left,61,0.0122,61,0.0122,4984
20231204,center-left,53,0.0106,51,0.0102,5000
20231204,center,69,0.0138,68,0.0136,5000
20231204,center-right,59,0.0118,59,0.0118,5000
20231204,far-right,0,0,0,0,0
20231211,far-left,47,0.00943,46,0.00923,4984
20231211,center-left,36,0.0072,36,0.0072,5000
20231211,center,81,0.0162,78,0.0156,5000
20231211,center-right,57,0.0114,57,0.0114,5000
20231211,far-right,42,0.0084,39,0.0078,5000
20231218,far-left,50,0.0106,50,0.0106,4697
20231218,center-left,42,0.0084,40,0.008,5000
20231218,center,53,0.0106,52,0.0104,5000
20231218,center-right,52,0.0104,51,0.0102,5000
20231218,far-right,0,0,0,0,0
20231225,far-left,23,0.00777,23,0.00777,2960
20231225,center-left,55,0.011,54,0.0108,5000
20231225,center,66,0.0132,66,0.0132,5000
20231225,center-right,65,0.013,64,0.0128,5000
20231225,far-right,0,0,0,0,0
20240101,far-left,41,0.0125,41,0.0125,3275
20240101,center-left,66,0.0132,63,0.0126,5000
20240101,center,67,0.0134,65,0.013,5000
20240101,center-right,60,0.012,59,0.0118,5000
20240101,far-right,49,0.0098,42,0.0084,5000
20240108,far-left,59,0.0119,58,0.0117,4966
20240108,center-left,40,0.008,39,0.0078,5000
20240108,center,52,0.0104,50,0.01,5000
20240108,center-right,60,0.012,59,0.0118,5000
20240108,far-right,0,0,0,0,0
20240115,far-left,61,0.0126,61,0.0126,4832
20240115,center-left,43,0.0086,43,0.0086,5000
20240115,center,65,0.013,64,0.0128,5000
20240115,center-right,53,0.0106,53,0.0106,5000
20240115,far-right,0,0,0,0,0
20240122,far-left,67,0.0134,67,0.0134,5000
20240122,center-left,47,0.0094,46,0.0092,5000
20240122,center,53,0.0106,53,0.0106,5000
20240122,center-right,53,0.0106,52,0.0104,5000
20240122,far-right,0,0,0,0,0
20240129,far-left,62,0.0131,61,0.0129,4742
20240129,center-left,40,0.008,39,0.0078,5000
20240129,center,48,0.0096,48,0.0096,5000
20240129,center-right,54,0.0108,54,0.0108,5000
20240129,far-right,0,0,0,0,0
20240205,far-left,62,0.0124,61,0.0122,5000
20240205,center-left,43,0.0086,43,0.0086,5000
20240205,center,49,0.0098,49,0.0098,5000
20240205,center-right,65,0.013,63,0.0126,5000
20240205,far-right,0,0,0,0,0
20240212,far-left,51,0.0103,51,0.0103,4957
20240212,center-left,47,0.0094,47,0.0094,5000
20240212,center,43,0.0086,43,0.0086,5000
20240212,center-right,40,0.008,40,0.008,5000
20240212,far-right,39,0.0078,38,0.0076,5000
20240219,far-left,61,0.0135,61,0.0135,4525
20240219,center-left,51,0.0102,50,0.01,5000
20240219,center,48,0.0096,48,0.0096,5000
20240219,center-right,48,0.0096,46,0.0092,5000
20240219,far-right,0,0,0,0,0
20240226,far-left,48,0.0103,48,0.0103,4639
20240226,center-left,53,0.0106,52,0.0104,5000
20240226,center,59,0.0118,57,0.0114,5000
20240226,center-right,51,0.0102,50,0.01,5000
20240226,far-right,0,0,0,0,0
20240304,far-left,65,0.013,65,0.013,5000
20240304,center-left,38,0.0076,38,0.0076,5000
20240304,center,42,0.0084,42,0.0084,5000
20240304,center-right,51,0.0102,51,0.0102,5000
20240304,far-right,0,0,0,0,0
20240311,far-left,47,0.0094,47,0.0094,5000
20240311,center-left,47,0.0094,47,0.0094,5000
20240311,center,46,0.0092,46,0.0092,5000
20240311,center-right,0,0,0,0,0
20240311,far-right,0,0,0,0,0
20240318,far-left,44,0.00887,43,0.00867,4960
20240318,center-left,30,0.006,30,0.006,5000
20240318,center,42,0.0084,42,0.0084,5000
20240318,center-right,0,0,0,0,0
20240318,far-right,0,0,0,0,0
20240325,far-left,50,0.0101,50,0.0101,4963
20240325,center-left,38,0.0076,37,0.0074,5000
20240325,center,48,0.0096,47,0.0094,5000
20240325,center-right,40,0.008,38,0.0076,5000
20240325,far-right,0,0,0,0,0
20240401,far-left,59,0.0118,58,0.0116,5000
20240401,center-left,41,0.0082,40,0.008,5000
20240401,center,47,0.0094,46,0.0092,5000
20240401,center-right,52,0.0104,51,0.0102,5000
20240401,far-right,0,0,0,0,0
20240408,far-left,80,0.016,80,0.016,5000
20240408,center-left,43,0.0086,42,0.0084,5000
20240408,center,41,0.0082,41,0.0082,5000
20240408,center-right,49,0.0098,48,0.0096,5000
20240408,far-right,0,0,0,0,0
20240415,far-left,76,0.0152,76,0.0152,5000
20240415,center-left,47,0.0094,47,0.0094,5000
20240415,center,61,0.0122,61,0.0122,5000
20240415,center-right,66,0.0132,65,0.013,5000
20240415,far-right,0,0,0,0,0
20240422,far-left,63,0.0126,62,0.0124,5000
20240422,center-left,47,0.0094,46,0.0092,5000
20240422,center,52,0.0104,51,0.0102,5000
20240422,center-right,69,0.0138,69,0.0138,5000
20240422,far-right,0,0,0,0,0
20240429,far-left,65,0.013,65,0.013,5000
20240429,center-left,43,0.0086,43,0.0086,5000
20240429,center,64,0.0128,64,0.0128,5000
20240429,center-right,62,0.0124,62,0.0124,5000
20240429,far-right,0,0,0,0,0
20240506,far-left,46,0.0092,46,0.0092,5000
20240506,center-left,49,0.0098,49,0.0098,5000
20240506,center,53,0.0106,53,0.0106,5000
20240506,center-right,67,0.0134,67,0.0134,5000
20240506,far-right,0,0,0,0,0
20240513,far-left,48,0.0096,48,0.0096,5000
20240513,center-left,32,0.0064,32,0.0064,5000
20240513,center,56,0.0112,56,0.0112,5000
20240513,center-right,36,0.0072,36,0.0072,5000
20240513,far-right,0,0,0,0,0
20240520,far-left,50,0.01,50,0.01,5000
20240520,center-left,38,0.0076,38,0.0076,5000
20240520,center,45,0.009,44,0.0088,5000
20240520,center-right,44,0.0088,44,0.0088,5000
20240520,far-right,0,0,0,0,0
20240527,far-left,38,0.0076,38,0.0076,5000
20240527,center-left,55,0.011,55,0.011,5000
20240527,center,37,0.0074,37,0.0074,5000
20240527,center-right,44,0.0088,44,0.0088,5000
20240527,far-right,0,0,0,0,0
20240603,far-left,46,0.0092,46,0.0092,5000
20240603,center-left,44,0.0088,43,0.0086,5000
20240603,center,49,0.0098,48,0.0096,5000
20240603,center-right,47,0.0094,47,0.0094,5000
20240603,far-right,0,0,0,0,0
20240610,far-left,55,0.011,54,0.0108,5000
20240610,center-left,42,0.0084,41,0.0082,5000
20240610,center,53,0.0106,53,0.0106,5000
20240610,center-right,69,0.0138,67,0.0134,5000
20240610,far-right,0,0,0,0,0
20240617,far-left,51,0.0102,51,0.0102,5000
20240617,center-left,46,0.0092,46,0.0092,5000
20240617,center,59,0.0118,59,0.0118,5000
20240617,center-right,51,0.0102,49,0.0098,5000
20240617,far-right,0,0,0,0,0
20240624,far-left,62,0.0124,61,0.0122,5000
20240624,center-left,53,0.0106,53,0.0106,5000
20240624,center,38,0.0076,38,0.0076,5000
20240624,center-right,42,0.0084,42,0.0084,5000
20240624,far-right,0,0,0,0,0
20240701,far-left,46,0.00933,46,0.00933,4931
20240701,center-left,34,0.0068,34,0.0068,5000
20240701,center,41,0.0082,41,0.0082,5000
20240701,center-right,51,0.0102,50,0.01,5000
20240701,far-right,0,0,0,0,0
20240708,far-left,47,0.0094,47,0.0094,5000
20240708,center-left,45,0.009,45,0.009,5000
20240708,center,46,0.0092,46,0.0092,5000
20240708,center-right,50,0.01,49,0.0098,5000
20240708,far-right,0,0,0,0,0
20240715,far-left,46,0.0092,46,0.0092,5000
20240715,center-left,44,0.0088,44,0.0088,5000
20240715,center,0,0,0,0,0
20240715,center-right,42,0.0084,41,0.0082,5000
20240715,far-right,0,0,0,0,0
20240722,far-left,61,0.0122,60,0.012,5000
