date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20241202,far-right,485,0.097,471,0.0942,5000
20241209,far-left,101,0.0202,100,0.02,5000
20241209,center-left,43,0.0086,43,0.0086,5000
20241209,center,71,0.0142,71,0.0142,5000
20241209,center-right,118,0.0236,118,0.0236,5000
20241209,far-right,405,0.081,395,0.079,5000
20241216,far-left,85,0.017,85,0.017,5000
20241216,center-left,44,0.0088,44,0.0088,5000
20241216,center,64,0.0128,62,0.0124,5000
20241216,center-right,114,0.0228,113,0.0226,5000
20241216,far-right,453,0.0906,446,0.0892,5000
20241223,far-left,98,0.0259,98,0.0259,3784
20241223,center-left,71,0.0142,71,0.0142,5000
20241223,center,77,0.0154,77,0.0154,5000
20241223,center-right,122,0.0244,120,0.024,5000
20241223,far-right,421,0.0842,417,0.0834,5000
20241230,far-left,87,0.0204,87,0.0204,4255
20241230,center-left,61,0.0122,61,0.0122,5000
20241230,center,78,0.0156,78,0.0156,5000
20241230,center-right,130,0.026,130,0.026,5000
20241230,far-right,424,0.0848,422,0.0844,5000
20250106,far-left,121,0.0242,121,0.0242,5000
20250106,center-left,57,0.0114,57,0.0114,5000
20250106,center,106,0.0212,105,0.021,5000
20250106,center-right,176,0.0352,176,0.0352,5000
20250106,far-right,505,0.101,496,0.0992,5000
20250113,far-left,172,0.0344,171,0.0342,5000
20250113,center-left,113,0.0226,113,0.0226,5000
20250113,center,116,0.0232,116,0.0232,5000
20250113,center-right,146,0.0292,146,0.0292,5000
20250113,far-right,509,0.102,503,0.101,5000
20250120,far-left,94,0.0188,94,0.0188,5000
20250120,center-left,39,0.0078,39,0.0078,5000
20250120,center,0,0,0,0,0
20250120,center-right,51,0.0102,51,0.0102,5000
20250120,far-right,306,0.0612,305,0.061,5000
20250127,far-left,0,0,0,0,0
20250127,center-left,0,0,0,0,0
20250127,center,0,0,0,0,0
20250127,center-right,0,0,0,0,0
20250127,far-right,154,0.0308,153,0.0306,5000
20250203,far-left,0,0,0,0,0
20250203,center-left,0,0,0,0,0
20250203,center,0,0,0,0,0
20250203,center-right,0,0,0,0,0
20250203,far-right,153,0.0306,152,0.0304,5000
20250210,far-left,0,0,0,0,0
20250210,center-left,0,0,0,0,0
20250210,center,0,0,0,0,0
20250210,center-right,0,0,0,0,0
20250210,far-right,135,0.027,134,0.0268,5000
